timestamp(ms),temperature,setpoint,heater_ssr,
"1644143149,968","97,17","0","0",
"1644143150,053","97","0","0",
"1644143150,139","97","0","0",
"1644143150,158","96,9","0","0",
"1644143150,256","96,86","0",,
"1644143150,257",,,"0",
"1644143150,318","97,28","0","0",
"1644143150,4","97,21","0","0",
"1644143150,49","97","0","0",
"1644143150,566","96,9",,,
"1644143150,567",,"0","0",
"1644143150,652","96,79","0","0",
"1644143150,739","97,24","0","0",
"1644143150,824","97","0","0",
"1644143150,91","97,07","0","0",
"1644143150,935","96,72","0","0",
"1644143151,006","96,9",,,
"1644143151,007",,"0","0",
"1644143151,084","96,76","0","0",
"1644143151,168","97,17","0","0",
"1644143151,252","96,93",,,
"1644143151,253",,"0","0",
"1644143151,339","97,03","0","0",
"1644143151,426","96,76",,,
"1644143151,427",,"0","0",
"1644143151,511","97,31","0","0",
"1644143151,596","97,21",,,
"1644143151,597",,"0","0",
"1644143151,68","97,14",,,
"1644143151,681",,"0","0",
"1644143151,706","97,17",,,
"1644143151,707",,"0","0",
"1644143151,768","96,58","0","0",
"1644143151,853","97,1","0","0",
"1644143151,944","97,07","0","0",
"1644143152,031","96,96",,,
"1644143152,032",,"0","0",
"1644143152,116","96,86","0","0",
"1644143152,2","97","0","0",
"1644143152,285","97,03","0","0",
"1644143152,308","96,76","0","0",
"1644143152,381","97,07",,,
"1644143152,382",,"0","0",
"1644143152,461","97,03","0","0",
"1644143152,542","96,96","0","0",
"1644143152,628","96,96","0","0",
"1644143152,713","97,07","0","0",
"1644143152,799","96,83","0","0",
"1644143152,886","96,96",,,
"1644143152,887",,"0","0",
"1644143152,969","97,14","0","0",
"1644143153,058","96,76","0","0",
"1644143153,082","96,96","0","0",
"1644143153,143","96,93","0","0",
"1644143153,229","96,62","0","0",
"1644143153,315","96,86",,,
"1644143153,316",,"0","0",
"1644143153,399","96,41","0","0",
"1644143153,499","96,83","0","0",
"1644143153,57","96,96","0","0",
"1644143153,656","96,72",,,
"1644143153,657",,"0","0",
"1644143153,683","96,83","0","0",
"1644143153,758","97,07","0","0",
"1644143153,917","96,69","0","0",
"1644143153,921","96,93",,,
"1644143153,922",,"0","0",
"1644143154,001","96,69",,,
"1644143154,002",,"0","0",
"1644143154,088","96,52","0","0",
"1644143154,174","96,96",,,
"1644143154,175",,"0","0",
"1644143154,259","97","0","0",
"1644143154,346","96,9","0","0",
"1644143154,43","96,79","0","0",
"1644143154,518","97,28","0","0",
"1644143154,521","96,79",,,
"1644143154,522",,"0","0",
"1644143154,599","96,9","0","0",
"1644143154,685","96,79","0","0",
"1644143154,779","96,69","0","0",
"1644143154,858","97,03","0","0",
"1644143154,944","96,58","0","0",
"1644143155,029","96,72","0","0",
"1644143155,114","97,03","0","0",
"1644143155,134","96,76","0","0",
"1644143155,285","96,72","0","0",
"1644143155,289","96,65","0","0",
"1644143155,371","96,83",,,
"1644143155,372",,"0","0",
"1644143155,459","96,65","0","0",
"1644143155,544","96,72","0","0",
"1644143155,628","96,83",,,
"1644143155,629",,"0","0",
"1644143155,715","97,03","0","0",
"1644143155,8","96,83",,,
"1644143155,801",,"0","0",
"1644143155,887","97,03",,,
"1644143155,888",,"0","0",
"1644143155,907","96,79",,,
"1644143155,908",,"0","0",
"1644143155,975","97,03",,,
"1644143155,976",,"0","0",
"1644143156,062","96,9","0","0",
"1644143156,147","96,65","0","0",
"1644143156,231","96,86","0",,
"1644143156,232",,,"0",
"1644143156,317","96,9","0","0",
"1644143156,402","96,86","0","0",
"1644143156,488","96,86","0","0",
"1644143156,574","96,83",,,
"1644143156,575",,"0","0",
"1644143156,656","96,76","0","0",
"1644143156,682","96,76","0","0",
"1644143156,745","97,07",,,
"1644143156,746",,"0","0",
"1644143156,833","96,9","0","0",
"1644143156,92","97,38",,,
"1644143156,921",,"0","0",
"1644143156,998","96,86",,,
"1644143156,999",,"0","0",
"1644143157,082","96,96","0","0",
"1644143157,169","96,65","0","0",
"1644143157,256","96,86",,,
"1644143157,257",,"0","0",
"1644143157,341","97,03","0","0",
"1644143157,358","96,9",,,
"1644143157,359",,"0","0",
"1644143157,431","96,58","0",,
"1644143157,432",,,"0",
"1644143157,514","96,72","0","0",
"1644143157,597","96,86",,,
"1644143157,598",,"0","0",
"1644143157,682","96,65","0","0",
"1644143157,769","96,9",,,
"1644143157,77",,"0","0",
"1644143157,856","96,9","0","0",
"1644143157,94","96,93",,,
"1644143157,941",,"0","0",
"1644143158,025","96,9",,,
"1644143158,026",,"0","0",
"1644143158,112","97","0",,
"1644143158,113",,,"0",
"1644143158,133","96,83","0","0",
"1644143158,196","96,76","0",,
"1644143158,197",,,"0",
"1644143158,283","96,86",,,
"1644143158,284",,"0","0",
"1644143158,373","96,79",,,
"1644143158,374",,"0","0",
"1644143158,459","96,79","0","0",
"1644143158,545","96,86","0","0",
"1644143158,63","96,65",,,
"1644143158,631",,"0","0",
"1644143158,716","96,9","0",,
"1644143158,717",,,"0",
"1644143158,734","96,48","0","0",
"1644143158,887","96,45","0","0",
"1644143158,89","96,72","0","0",
"1644143158,973","96,79","0","0",
"1644143159,059","96,93","0","0",
"1644143159,145","97,1","0","0",
"1644143159,232","96,48",,,
"1644143159,233",,"0","0",
"1644143159,318","96,83","0",,
"1644143159,319",,,"0",
"1644143159,401","96,86",,,
"1644143159,402",,"0","0",
"1644143159,488","96,45","0","0",
"1644143159,507","96,41","0","0",
"1644143159,582","96,76",,,
"1644143159,583",,"0","0",
"1644143159,658","96,58","0","0",
"1644143159,743","97",,,
"1644143159,744",,"0","0",
"1644143159,83","96,72",,,
"1644143159,831",,"0","0",
"1644143159,915","96,41","0","0",
"1644143160,001","96,45",,,
"1644143160,002",,"0","0",
"1644143160,087","96,48","0","0",
"1644143160,11","96,52","0","0",
"1644143160,279","97,14","0",,
"1644143160,28",,,"0",
"1644143160,284","96,86","0",,
"1644143160,285",,,"0",
"1644143160,345","96,72",,,
"1644143160,346",,"0","0",
"1644143160,428","96,9","0","0",
"1644143160,516","96,86",,,
"1644143160,517",,"0","0",
"1644143160,6","96,62","0","0",
"1644143160,686","97,14",,,
"1644143160,687",,"0","0",
"1644143160,775","96,72",,,
"1644143160,776",,"0","0",
"1644143160,86","96,58","0","0",
"1644143160,883","96,65",,,
"1644143160,884",,"0","0",
"1644143160,958","96,58","0",,
"1644143160,959",,,"0",
"1644143161,031","96,45","0",,
"1644143161,032",,,"0",
"1644143161,118","96,83",,,
"1644143161,119",,"0","0",
"1644143161,205","96,55","0","0",
"1644143161,288","96,76","0","0",
"1644143161,372","96,62",,,
"1644143161,373",,"0","0",
"1644143161,459","96,62","0","0",
"1644143161,559","96,2",,,
"1644143161,56",,"0","0",
"1644143161,628","96,55","0","0",
"1644143161,717","96,76","0","0",
"1644143161,72","96,76",,,
"1644143161,721",,"0","0",
"1644143161,8","96,83",,,
"1644143161,801",,"0","0",
"1644143161,888","96,93",,,
"1644143161,889",,"0","0",
"1644143161,973","96,52",,,
"1644143161,974",,"0","0",
"1644143162,061","96,79","0","0",
"1644143162,143","96,24",,,
"1644143162,144",,"0","0",
"1644143162,23","96,34",,,
"1644143162,231",,"0","0",
"1644143162,316","96,58","0","0",
"1644143162,332","96,55",,,
"1644143162,333",,"0","0",
"1644143162,488","96,83","0",,
"1644143162,489",,,"0",
"1644143162,492","96,65",,,
"1644143162,493",,"0","0",
"1644143162,576","96,76","0","0",
"1644143162,661","96,86",,,
"1644143162,662",,"0","0",
"1644143162,746","96,58","0",,
"1644143162,747",,,"0",
"1644143162,833","96,62","0","0",
"1644143162,916","96,55",,,
"1644143162,917",,"0","0",
"1644143163,004","96,34","0","0",
"1644143163,098","96,41","0","0",
"1644143163,102","96,52","0",,
"1644143163,103",,,"0",
"1644143163,178","96,83",,,
"1644143163,179",,"0","0",
"1644143163,255","96,62","0",,
"1644143163,256",,,"0",
"1644143163,339","96,41",,,
"1644143163,34",,"100","1",
"1644143163,424","96,65","100",,
"1644143163,427",,,"1",
"1644143163,512","96,86","100","1",
"1644143163,596","96,45","100",,
"1644143163,598",,,"1",
"1644143163,682","96,58",,,
"1644143163,683",,"100",,
"1644143163,685",,,"1",
"1644143163,77","96,41","100",,
"1644143163,772",,,"1",
"1644143163,854","96,65","100",,
"1644143163,856",,,"1",
"1644143163,94","96,45",,,
"1644143163,941",,"100","1",
"1644143163,958","96,41","100",,
"1644143163,959",,,"1",
"1644143164,119","96,55","100",,
"1644143164,121",,,"1",
"1644143164,125","96,45","100",,
"1644143164,127",,,"1",
"1644143164,196","96,83",,,
"1644143164,197",,"100",,
"1644143164,2",,,"1",
"1644143164,282","96,62","100","1",
"1644143164,379","96,31","100",,
"1644143164,382",,,"1",
"1644143164,456","96,65","100","1",
"1644143164,538","96,69","100",,
"1644143164,54",,,"1",
"1644143164,629","96,65","100",,
"1644143164,632",,,"1",
"1644143164,716","96,55","100","1",
"1644143164,733","96,79","100",,
"1644143164,803",,,"1",
"1644143164,886","96,65",,,
"1644143164,887",,"100","1",
"1644143164,894","96,34","100",,
"1644143164,908",,,"1",
"1644143164,973","96,52","100",,
"1644143164,983",,,"0",
"1644143165,058","96,62","100",,
"1644143165,061",,,"1",
"1644143165,144","96,62","100",,
"1644143165,147",,,"1",
"1644143165,232","96,52","100","1",
"1644143165,315","96,34","100",,
"1644143165,318",,,"1",
"1644143165,4","96,41",,,
"1644143165,401",,"100",,
"1644143165,403",,,"1",
"1644143165,485","96,45","100",,
"1644143165,488",,,"1",
"1644143165,57","96,62",,,
"1644143165,571",,"100","1",
"1644143165,66","96,62","100","1",
"1644143165,682","96,72","100","1",
"1644143165,757","96,62","100",,
"1644143165,76",,,"1",
"1644143165,829","96,69","100",,
"1644143165,857",,,"1",
"1644143165,908","96,52","100",,
"1644143165,932",,,"1",
"1644143165,983","96,58","100","1",
"1644143166,082","96,2","100",,
"1644143166,086",,,"1",
"1644143166,157","96,48","100","1",
"1644143166,233","96,52","100","0",
"1644143166,308","96,58","100",,
"1644143166,311",,,"1",
"1644143166,383","96,52","100",,
"1644143166,386",,,"1",
"1644143166,459","96,07","100",,
"1644143166,463",,,"1",
"1644143166,536","96,48","100","1",
"1644143166,608","96,31","100","1",
"1644143166,707","96,58","100","1",
"1644143166,799","96,52","100","1",
"1644143166,857","96,14","100","1",
"1644143166,937","96,69","100","1",
"1644143167,008","96,38","100",,
"1644143167,01",,,"1",
"1644143167,083","96,62","100",,
"1644143167,087",,,"1",
"1644143167,158","96,45","100",,
"1644143167,182",,,"1",
"1644143167,233","96,69","100",,
"1644143167,257",,,"1",
"1644143167,327","96,69","100","1",
"1644143167,408","96,62","100",,
"1644143167,423",,,"1",
"1644143167,483","96,34","100","1",
"1644143167,56","96,69",,,
"1644143167,561",,"100",,
"1644143167,564",,,"1",
"1644143167,633","96,83","100",,
"1644143167,635",,,"1",
"1644143167,717","96,14","100","1",
"1644143167,784","96,9","100",,
"1644143167,807",,,"1",
"1644143167,858","96,2","100","1",
"1644143167,933","96,79","100",,
"1644143167,958",,,"1",
"1644143168,012","97,03","100",,
"1644143168,032",,,"1",
"1644143168,107","96,34","100",,
"1644143168,11",,,"1",
"1644143168,189","96,31","100","1",
"1644143168,26","96,96","100","1",
"1644143168,333","96,34","100",,
"1644143168,335",,,"1",
"1644143168,408","96,65","100","1",
"1644143168,483","96,48","100",,
"1644143168,507",,,"1",
"1644143168,559","96,38","100",,
"1644143168,598",,,"1",
"1644143168,657","96,14","100","1",
"1644143168,732","96,31","100","0",
"1644143168,807","96,14",,,
"1644143168,808",,"100","1",
"1644143168,883","96,48","100","1",
"1644143168,958","96,41","100",,
"1644143168,962",,,"1",
"1644143169,033","96,55","100","1",
"1644143169,108","96,27","100",,
"1644143169,135",,,"1",
"1644143169,205","96,52","100","1",
"1644143169,259","96,52","100",,
"1644143169,284",,,"1",
"1644143169,357","95,96","100","1",
"1644143169,432","96,65","100",,
"1644143169,436",,,"1",
"1644143169,508","96,27","100",,
"1644143169,511",,,"1",
"1644143169,583","96,58",,,
"1644143169,584",,"100","1",
"1644143169,659","96,55","100",,
"1644143169,661",,,"1",
"1644143169,733","96,31",,,
"1644143169,734",,"100",,
"1644143169,758",,,"1",
"1644143169,809","96,58","100",,
"1644143169,832",,,"1",
"1644143169,908","96,45","100","1",
"1644143169,982","96,41",,,
"1644143169,983",,"100",,
"1644143169,985",,,"0",
"1644143170,059","96,52","100","1",
"1644143170,139","96,03","100","1",
"1644143170,209","96,41","100",,
"1644143170,212",,,"1",
"1644143170,285","96,34","100",,
"1644143170,287",,,"1",
"1644143170,359","96,48","100","1",
"1644143170,434","96,14","100",,
"1644143170,457",,,"1",
"1644143170,522","96,27",,,
"1644143170,523",,"100","1",
"1644143170,608","95,86","100",,
"1644143170,61",,,"1",
"1644143170,689","96,17","100",,
"1644143170,69",,,"1",
"1644143170,76","96,62","100",,
"1644143170,765",,,"1",
"1644143170,834","96,27",,,
"1644143170,835",,"100",,
"1644143170,836",,,"1",
"1644143170,909","96,52","100","1",
"1644143170,984","96,17","100",,
"1644143170,988",,,"1",
"1644143171,058","96,38",,,
"1644143171,059",,"100",,
"1644143171,084",,,"1",
"1644143171,133","96,48","100",,
"1644143171,167",,,"1",
"1644143171,21","96,55","100",,
"1644143171,233",,,"1",
"1644143171,307","96,31","100",,
"1644143171,31",,,"1",
"1644143171,383","96,45",,,
"1644143171,384",,"100","1",
"1644143171,459","96,76","100","1",
"1644143171,534","96,14","100",,
"1644143171,536",,,"1",
"1644143171,608","96","100",,
"1644143171,611",,,"1",
"1644143171,683","96,17","100",,
"1644143171,684",,,"1",
"1644143171,758","96","100",,
"1644143171,798",,,"1",
"1644143171,835","96,34","100","1",
"1644143171,933","96,2","100",,
"1644143171,937",,,"1",
"1644143172,007","96,24",,,
"1644143172,008",,"100","1",
"1644143172,085","96,14","100",,
"1644143172,086",,,"1",
"1644143172,158","96,45",,,
"1644143172,159",,"100",,
"1644143172,162",,,"1",
"1644143172,233","96,52",,,
"1644143172,234",,"100","1",
"1644143172,309","96,58","100",,
"1644143172,333",,,"1",
"1644143172,384","96,38","100","1",
"1644143172,462","96,2",,,
"1644143172,463",,"100",,
"1644143172,484",,,"0",
"1644143172,557","96,62",,,
"1644143172,558",,"100",,
"1644143172,56",,,"1",
"1644143172,632","96",,,
"1644143172,633",,"100",,
"1644143172,635",,,"1",
"1644143172,709","95,89","100",,
"1644143172,713",,,"1",
"1644143172,784","96,24","100","1",
"1644143172,861","96,62",,,
"1644143172,862",,"100",,
"1644143172,864",,,"1",
"1644143172,934","96,17","100",,
"1644143172,938",,,"1",
"1644143173,008","96,55","100","1",
"1644143173,108","96,45","100",,
"1644143173,11",,,"1",
"1644143173,183","96,27","100",,
"1644143173,188",,,"1",
"1644143173,262","95,82",,,
"1644143173,263",,"100",,
"1644143173,265",,,"1",
"1644143173,338","96,41","100","1",
"1644143173,411","96,17","100","1",
"1644143173,484","96,72","100",,
"1644143173,486",,,"1",
"1644143173,559","96,27","100","1",
"1644143173,634","96,34","100",,
"1644143173,657",,,"1",
"1644143173,72","96,27","100",,
"1644143173,724",,,"1",
"1644143173,784","96,45","100",,
"1644143173,808",,,"1",
"1644143173,884","96,34","100",,
"1644143173,885",,,"1",
"1644143173,959","96,14","100",,
"1644143173,962",,,"1",
"1644143174,035","96,17","100","1",
"1644143174,108","96,48",,,
"1644143174,109",,"100",,
"1644143174,111",,,"1",
"1644143174,183","96,45",,,
"1644143174,184",,"100",,
"1644143174,187",,,"1",
"1644143174,258","96,62",,,
"1644143174,259",,"100",,
"1644143174,265",,,"1",
"1644143174,334","96,31","100","1",
"1644143174,409","96,38","100",,
"1644143174,432",,,"1",
"1644143174,507","96,55","100","1",
"1644143174,582","96,1","100",,
"1644143174,585",,,"1",
"1644143174,659","96,52","100",,
"1644143174,661",,,"1",
"1644143174,734","96,41",,,
"1644143174,735",,"100",,
"1644143174,738",,,"1",
"1644143174,809","96","100",,
"1644143174,814",,,"1",
"1644143174,885","96,31","100","1",
"1644143174,959","96,9","100",,
"1644143174,999",,,"1",
"1644143175,035","96,34","100",,
"1644143175,058",,,"1",
